Feature,Importance,Importance_Pct
corridor_encoded,0.45173806979826275,45.173806979826274
corridor_risk_score,0.3134710940604858,31.347109406048578
event_cause,0.17737630521031572,17.737630521031573
event_type,0.047511064366635145,4.751106436663514
hour,0.0029155867968884176,0.29155867968884175
month,0.0016286516976249524,0.16286516976249524
hour_risk_score,0.0012261190848321633,0.12261190848321633
zone_risk_score,0.001171701000323231,0.1171701000323231
zone,0.0009357612622734074,0.09357612622734074
day_of_week,0.0009241053672427739,0.09241053672427739
is_major_corridor,0.00046799474832165595,0.046799474832165594
time_period,0.00039819422329547655,0.03981942232954765
is_peak_hour,0.00013959354426779802,0.013959354426779801
is_weekend,9.575883923071762e-05,0.009575883923071762
is_high_priority,0.0,0.0
requires_road_closure_bool,0.0,0.0
is_planned,0.0,0.0
is_major_event,0.0,0.0
critical_situation,0.0,0.0
